ocity_code,dcity_code,WILL_Idx,REAL_Idx,O_X,O_Y,D_X,D_Y
110000,350800,0.00572222,0.00055556,116.4126385,40.18563339,116.7389397,25.29315682
110000,350900,0.01155556,0.00061112,116.4126385,40.18563339,119.484003,26.97384318
110000,360100,0.2098889,0.01044444,116.4126385,40.18563339,116.0185878,28.64979404
110000,360200,0.02722222,0.00166666,116.4126385,40.18563339,117.2699557,29.30728248
110000,360400,0.12305556,0.00816666,116.4126385,40.18563339,115.4516415,29.32193445
110000,360700,0.01466666,0.00105556,116.4126385,40.18563339,115.2730355,25.7088547
110000,360800,0.01472222,0.00066666,116.4126385,40.18563339,114.8246394,26.97340935
110000,360900,0.03100002,0.0032222,116.4126385,40.18563339,115.0161536,28.54899351
110000,361000,0.00844444,0.00055556,116.4126385,40.18563339,116.4341292,27.51015051
110000,361100,0.10544446,0.00366668,116.4126385,40.18563339,117.9198448,28.76231018
110000,370100,3.47622224,0.59455558,116.4126385,40.18563339,117.2154615,36.63697278
110000,370200,2.97188896,0.31316668,116.4126385,40.18563339,120.1454016,36.44814699
110000,370300,12.04561118,0.5713333,116.4126385,40.18563339,118.0532572,36.60786112
110000,370400,0.40077778,0.06705556,116.4126385,40.18563339,117.3928067,34.91610433
110000,370500,1.15061114,0.2151111,116.4126385,40.18563339,118.6349376,37.64003637
110000,370600,2.3353333,0.33844444,116.4126385,40.18563339,120.800097,37.23969776
110000,370700,1.47649998,0.2733889,116.4126385,40.18563339,119.0725905,36.55151791
110000,370800,1.01666664,0.19872222,116.4126385,40.18563339,116.7355628,35.36937488
110000,370900,1.38016666,0.23138888,116.4126385,40.18563339,117.0251512,36.00172708
110000,371000,1.96355554,0.19027778,116.4126385,40.18563339,121.9956074,37.11734958
110000,371100,0.73505554,0.07888886,116.4126385,40.18563339,119.1412102,35.57786064
110000,371300,0.8396667,0.15572222,116.4126385,40.18563339,118.280571,35.30939882
110000,371400,2.20522226,0.63116666,116.4126385,40.18563339,116.6472134,37.24829922
110000,371500,1.40299998,0.361,116.4126385,40.18563339,115.881248,36.45823301
110000,371600,1.04894448,0.26183334,116.4126385,40.18563339,117.8409923,37.53923094
110000,371700,1.27738888,0.31388888,116.4126385,40.18563339,115.6927151,35.15104507
110000,410100,1.6122778,0.22627778,116.4126385,40.18563339,113.4726362,34.6255035
110000,410200,0.567,0.09777776,116.4126385,40.18563339,114.5353871,34.60479893
110000,410300,0.8916111,0.08438888,116.4126385,40.18563339,112.0317707,34.29234398
110000,410400,0.20188888,0.0328889,116.4126385,40.18563339,112.9620136,33.94210601
110000,410500,1.05199998,0.24905556,116.4126385,40.18563339,114.6450216,35.47493805
110000,410600,0.2047222,0.04455554,116.4126385,40.18563339,114.3687804,35.64008117
110000,410700,0.55616666,0.10522222,116.4126385,40.18563339,114.0894418,35.26381432
110000,410800,0.32255558,0.04855556,116.4126385,40.18563339,113.1318127,35.11257246
110000,410900,0.887,0.24055554,116.4126385,40.18563339,115.1752842,35.8097082
110000,411000,0.29527778,0.04355556,116.4126385,40.18563339,113.7096941,34.07233588
110000,411100,0.11938888,0.0213889,116.4126385,40.18563339,113.8996617,33.65562973
110000,411200,0.0971111,0.01144446,116.4126385,40.18563339,110.7728005,34.2245224
